[nummod(men-2, two-1), nsubj(crying-4, men-2), aux(crying-4, are-3), root(ROOT-0, crying-4)] 	[nummod(men-2, Two-1), nsubj(laughing-3, men-2), root(ROOT-0, laughing-3), punct(laughing-3, .-4)] 	1
[det(businessman-3, A-1), amod(businessman-3, tired-2), nsubj(takes-4, businessman-3), root(ROOT-0, takes-4), det(nap-7, a-5), amod(nap-7, quick-6), dobj(takes-4, nap-7), mark(riding-9, while-8), advcl(takes-4, riding-9), det(train-11, the-10), dobj(riding-9, train-11), punct(takes-4, .-12)] 	[det(man-2, A-1), nsubj(finds-3, man-2), root(ROOT-0, finds-3), dobj(finds-3, time-4), mark(take-6, to-5), acl(time-4, take-6), det(nap-8, a-7), dobj(take-6, nap-8), case(car-12, in-9), det(car-12, the-10), amod(car-12, electric-11), nmod:in(take-6, car-12), punct(finds-3, .-13)] 	2
[det(man-2, A-1), root(ROOT-0, man-2), acl(man-2, working-3), case(light-6, on-4), det(light-6, a-5), nmod:on(working-3, light-6), nsubjpass(broken-10, that-7), aux(broken-10, has-8), auxpass(broken-10, been-9), acl:relcl(light-6, broken-10), case(week-13, for-11), det(week-13, a-12), nmod:for(broken-10, week-13), punct(man-2, .-14)] 	[det(women-2, The-1), nsubj(work-3, women-2), root(ROOT-0, work-3), advmod(work-3, hard-4), case(down-8, on-5), det(down-8, a-6), amod(down-8, crooked-7), nmod:on(work-3, down-8), punct(work-3, .-9)] 	3
[det(man-2, A-1), nsubj(attempting-4, man-2), aux(attempting-4, is-3), root(ROOT-0, attempting-4), mark(fix-6, to-5), xcomp(attempting-4, fix-6), det(compressor-9, the-7), compound(compressor-9, air-8), dobj(fix-6, compressor-9), punct(attempting-4, .-10)] 	[det(man-2, A-1), nsubj(uses-3, man-2), root(ROOT-0, uses-3), det(hose-6, a-4), amod(hose-6, high-power-5), dobj(uses-3, hose-6), mark(put-8, to-7), xcomp(uses-3, put-8), compound:prt(put-8, out-9), det(fire-11, the-10), dobj(put-8, fire-11), punct(uses-3, .-12)] 	4
[det(year-3, a-1), nummod(year-3, twelve-2), nmod:npmod(old-4, year-3), amod(girl-5, old-4), nsubj(eats-6, girl-5), root(ROOT-0, eats-6), compound(cream-9, chocolate-7), compound(cream-9, ice-8), dobj(eats-6, cream-9)] 	[nsubj(eat-2, Girl-1), root(ROOT-0, eat-2), compound(cream-4, ice-3), dobj(eat-2, cream-4), punct(eat-2, .-5)] 	5
[det(man-2, a-1), nsubj(holds-3, man-2), root(ROOT-0, holds-3), det(sign-8, a-4), amod(sign-8, pro-5), compound(sign-8, Judea-6), compound(sign-8, protest-7), dobj(holds-3, sign-8), case(protest-11, at-9), det(protest-11, a-10), nmod:at(sign-8, protest-11), dobj(holds-3, rally-12)] 	[det(man-2, A-1), nsubj(holds-3, man-2), root(ROOT-0, holds-3), det(sign-5, a-4), dobj(holds-3, sign-5), case(protest-7, of-6), nmod:of(sign-5, protest-7)] 	6
[det(woman-2, A-1), nsubj(holds-3, woman-2), root(ROOT-0, holds-3), det(boy-6, a-4), amod(boy-6, little-5), dobj(holds-3, boy-6), acl(boy-6, wearing-7), det(sweatshirt-10, a-8), amod(sweatshirt-10, blue-9), dobj(wearing-7, sweatshirt-10), punct(holds-3, .-11)] 	[det(woman-2, A-1), root(ROOT-0, woman-2), acl(woman-2, carrying-3), det(child-5, a-4), dobj(carrying-3, child-5), acl(child-5, smiling-6), punct(smiling-6, ,-7), advcl(smiling-6, wearing-8), det(shirt-11, a-9), amod(shirt-11, blue-10), dobj(wearing-8, shirt-11), punct(woman-2, .-12)] 	7
[det(bike-2, A-1), root(ROOT-0, bike-2), acl(bike-2, riding-3), amod(child-5, blond-4), dobj(riding-3, child-5), punct(bike-2, .-6)] 	[det(girl-2, The-1), nsubj(riding-3, girl-2), root(ROOT-0, riding-3), nmod:poss(bike-5, her-4), dobj(riding-3, bike-5), punct(riding-3, .-6)] 	8
[nsubj(road-5, people-1), cop(road-5, are-2), case(road-5, in-3), det(road-5, the-4), root(ROOT-0, road-5)] 	[root(ROOT-0, People-1), case(road-4, near-2), det(road-4, the-3), nmod:near(People-1, road-4)] 	9
[det(windows-2, The-1), nsubj(tall-4, windows-2), cop(tall-4, are-3), root(ROOT-0, tall-4), punct(tall-4, .-5)] 	[det(windows-2, The-1), nsubj(open-3, windows-2), root(ROOT-0, open-3), punct(open-3, .-4)] 	10
[det(man-2, A-1), nsubjpass(chased-5, man-2), aux(chased-5, is-3), auxpass(chased-5, being-4), root(ROOT-0, chased-5), case(police-8, by-6), det(police-8, the-7), nmod:agent(chased-5, police-8), punct(chased-5, .-9)] 	[nsubj(arrest-2, Police-1), root(ROOT-0, arrest-2), dobj(arrest-2, man-3)] 	11
[det(girl-2, A-1), nsubj(has-3, girl-2), root(ROOT-0, has-3), dobj(has-3, binoculars-4)] 	[det(girl-3, A-1), amod(girl-3, young-2), root(ROOT-0, girl-3), acl(girl-3, carrying-4), det(camera-6, a-5), dobj(carrying-4, camera-6)] 	12
[nummod(people-2, Two-1), nsubj(ride-3, people-2), root(ROOT-0, ride-3), amod(bikes-5, red-4), dobj(ride-3, bikes-5), punct(ride-3, .-6)] 	[nummod(men-2, Two-1), nsubj(leading-4, men-2), aux(leading-4, are-3), root(ROOT-0, leading-4), det(way-6, the-5), dobj(leading-4, way-6), case(another-8, to-7), nmod:to(leading-4, another-8)] 	13
[nummod(people-2, Two-1), nsubj(standing-4, people-2), aux(standing-4, are-3), root(ROOT-0, standing-4), xcomp(standing-4, next-5), dep(next-5, to-6), dobj(to-6, each-7), amod(each-7, other-8), dep(other-8, wearing-9), dobj(wearing-9, pink-10), punct(standing-4, .-11)] 	[expl(are-2, There-1), root(ROOT-0, are-2), nummod(men-4, three-3), nsubj(are-2, men-4), punct(men-4, ,-5), appos(men-4, two-6), case(them-8, of-7), nmod:of(two-6, them-8), acl(them-8, wearing-9), compound(Thertheran-12, Qmichin-10), compound(Thertheran-12, Ohmaren-11), dobj(wearing-9, Thertheran-12), advmod(are-2, together-13)] 	14
[det(woman-3, A-1), amod(woman-3, black-2), nsubj(buying-5, woman-3), aux(buying-5, is-4), root(ROOT-0, buying-5), dobj(buying-5, donuts-6), case(store-9, at-7), det(store-9, the-8), nmod:at(buying-5, store-9), punct(buying-5, .-10)] 	[nsubj(look-2, Women-1), root(ROOT-0, look-2), case(shampoo-5, at-3), det(shampoo-5, the-4), nmod:at(look-2, shampoo-5), case(store-9, at-6), det(store-9, a-7), compound(store-9, grocery-8), nmod:at(look-2, store-9), punct(look-2, .-10)] 	15
[det(man-2, The-1), nsubj(works-3, man-2), root(ROOT-0, works-3), case(market-7, in-4), det(market-7, the-5), amod(market-7, local-6), nmod:in(works-3, market-7), punct(works-3, .-8)] 	[det(group-2, A-1), root(ROOT-0, group-2), case(traders-4, of-3), nmod:of(group-2, traders-4), acl(traders-4, working-5), case(market-8, in-6), det(market-8, the-7), nmod:in(working-5, market-8), punct(group-2, .-9)] 	16
[det(woman-2, A-1), root(ROOT-0, woman-2), mark(wears-5, in-3), nsubj(wears-5, red-4), acl(woman-2, wears-5), dobj(wears-5, glasses-6), cc(glasses-6, and-7), amod(earrings-9, long-8), conj:and(glasses-6, earrings-9), punct(woman-2, .-10)] 	[compound(earrings-6, Woman-1), acl(Woman-1, wearing-2), dobj(wearing-2, glasses-3), punct(earrings-6, ,-4), amod(earrings-6, big-5), root(ROOT-0, earrings-6), punct(earrings-6, ,-7), cc(earrings-6, and-8), det(lid-10, a-9), conj:and(earrings-6, lid-10), case(head-13, on-11), nmod:poss(head-13, her-12), nmod:on(lid-10, head-13), punct(earrings-6, .-14)] 	17
[root(ROOT-0, Skateboarder-1), case(midair-3, in-2), nmod:in(Skateboarder-1, midair-3), case(park-6, at-4), det(park-6, a-5), nmod:at(Skateboarder-1, park-6), punct(Skateboarder-1, .-7)] 	[compound(park-4, Man-1), amod(park-4, outdoor-2), compound(park-4, skate-3), root(ROOT-0, park-4), punct(park-4, .-5)] 	18
[det(man-2, a-1), root(ROOT-0, man-2), acl(man-2, working-3), det(kinks-5, the-4), dobj(working-3, kinks-5), case(bones-10, out-6), mwe(out-6, of-7), nmod:poss(bones-10, his-8), amod(bones-10, old-9), nmod:out_of(working-3, bones-10)] 	[det(man-2, The-1), nsubj(works-3, man-2), root(ROOT-0, works-3), case(hand-6, in-4), nmod:poss(hand-6, his-5), nmod:in(works-3, hand-6)] 	19
[det(woman-2, A-1), root(ROOT-0, woman-2), case(suit-7, in-3), det(suit-7, a-4), amod(suit-7, one-piece-5), compound(suit-7, bathing-6), nmod:in(woman-2, suit-7), case(man-10, with-8), det(man-10, a-9), nmod:with(suit-7, man-10), case(boardwalk-13, on-11), det(boardwalk-13, a-12), nmod:on(man-10, boardwalk-13), case(day-17, on-14), det(day-17, a-15), amod(day-17, foggy-16), nmod:on(woman-2, day-17), punct(woman-2, .-18)] 	[det(man-2, A-1), root(ROOT-0, man-2), acl(man-2, wearing-3), det(suit-5, a-4), dobj(wearing-3, suit-5), cc(wearing-3, and-6), det(woman-8, a-7), conj:and(wearing-3, woman-8), acl(woman-8, wearing-9), det(dress-12, a-10), compound(dress-12, wedding-11), dobj(wearing-9, dress-12), acl(dress-12, walking-13), case(sidewalk-16, on-14), det(sidewalk-16, the-15), nmod:on(walking-13, sidewalk-16), amod(sidewalk-16, wet-17), punct(man-2, .-18)] 	20
[det(man-2, A-1), root(ROOT-0, man-2), case(shirt-6, in-3), det(shirt-6, a-4), amod(shirt-6, blue-5), nmod:in(man-2, shirt-6), acl(shirt-6, helping-7), det(man-9, a-8), dobj(helping-7, man-9), case(shirt-13, in-10), det(shirt-13, a-11), amod(shirt-13, red-12), nmod:in(helping-7, shirt-13), acl(shirt-13, fix-14), det(car-16, a-15), dobj(fix-14, car-16), punct(man-2, .-17)] 	[det(man-2, A-1), nmod:tmod(helps-10, man-2), case(shirt-6, with-3), det(shirt-6, a-4), amod(shirt-6, blue-5), nmod:with(helps-10, shirt-6), det(shirt-9, a-7), amod(shirt-9, red-8), nsubj(helps-10, shirt-9), root(ROOT-0, helps-10), det(man-12, a-11), dobj(helps-10, man-12), mark(fit-14, to-13), xcomp(helps-10, fit-14), det(path-17, a-15), compound(path-17, bicycle-16), dobj(fit-14, path-17)] 	21
[det(girl-2, A-1), nsubj(kneels-3, girl-2), root(ROOT-0, kneels-3), case(ground-6, on-4), det(ground-6, the-5), nmod:on(kneels-3, ground-6), case(friend-9, with-7), nmod:poss(friend-9, her-8), nmod:with(kneels-3, friend-9), punct(kneels-3, .-10)] 	[cc(stretched-2, Or-1), root(ROOT-0, stretched-2), compound:prt(stretched-2, out-3), case(ground-6, on-4), det(ground-6, the-5), nmod:on(stretched-2, ground-6), case(son-9, with-7), nmod:poss(son-9, her-8), nmod:with(ground-6, son-9)] 	22
[det(gymnast-2, The-1), nsubj(feet-6, gymnast-2), cop(feet-6, is-3), det(feet-6, a-4), amod(feet-6, few-5), root(ROOT-0, feet-6), case(ground-9, off-7), det(ground-9, the-8), nmod:off(feet-6, ground-9), punct(feet-6, .-10)] 	[root(ROOT-0, Someone-1), case(air-4, in-2), det(air-4, the-3), nmod:in(Someone-1, air-4), case(skis-6, with-5), nmod:with(air-4, skis-6), case(feet-9, on-7), nmod:poss(feet-9, his-8), nmod:on(skis-6, feet-9), punct(Someone-1, .-10)] 	23
