[People/NNS, show/VBP, their/PRP$, affection/NN, for/IN, each/DT, other/JJ, ./.] 	[A/DT, women/NNS, giving/VBG, something/NN, to/TO, other/JJ, lady/NN, ./.] 	1
[Two/CD, children/NNS, are/VBP, dancing/VBG] 	[Kids/NNS, are/VBP, dancing/VBG, ./.] 	2
[Two/CD, fishermen/NNS, walking/VBG, to/TO, work/VB, on/IN, the/DT, pier/NN, ./.] 	[Two/CD, children/NNS, play/VBP, in/IN, the/DT, water/NN, by/IN, a/DT, pier/NN, and/CC, building/NN, ./.] 	3
[The/DT, girl/NN, is/VBZ, trying/VBG, to/TO, hit/VB, a/DT, piñata/NN, ./.] 	[A/DT, sad/JJ, boy/NN, in/IN, a/DT, surfing/NN, shirt/NN, is/VBZ, swinging/VBG, on/IN, a/DT, swing/NN, ./.] 	4
[A/DT, tracking/NN, dog/NN, is/VBZ, sniffing/VBG, the/DT, group/NN, trying/VBG, to/TO, find/VB, the/DT, scent/NN, of/IN, the/DT, criminal/JJ, ./.] 	[The/DT, woman/NN, is/VBZ, sniffing/VBG, the/DT, other/JJ, ./.] 	5
[The/DT, ponies/NNS, are/VBP, friendly/JJ, ./.] 	[The/DT, ponies/NNS, are/VBP, in/IN, love/NN] 	6
[A/DT, large/JJ, group/NN, of/IN, triathlon/NN, athletes/NNS, are/VBP, competing/VBG, in/IN, a/DT, race/NN, through/IN, the/DT, streets/NNS, of/IN, the/DT, city/NN, ./.] 	[A/DT, group/NN, of/IN, outdoor/JJ, enthusiasts/NNS, are/VBP, traveling/VBG, as/IN, a/DT, group/NN, to/TO, their/PRP$, campsite/NN, up/RP, in/IN, the/DT, mountains/NNS, ./.] 	7
[A/DT, group/NN, of/IN, people/NNS, is/VBZ, resting/VBG, near/IN, hills/NNS, and/CC, cliffs/NNS, ./.] 	[A/DT, group/NN, of/IN, girls/NNS, are/VBP, overlooking/VBG, the/DT, water/NN, ./.] 	8
[An/DT, adult/JJ, and/CC, a/DT, child/NN, are/VBP, ruining/VBG, their/PRP$, nails/NNS, ./.] 	[An/DT, adult/JJ, and/CC, a/DT, child/NN, sitting/VBG, down/RP, and/CC, both/DT, are/VBP, biting/VBG, their/PRP$, fingernails/NNS, ./.] 	9
[People/NNS, are/VBP, buying/VBG, vegetables/NNS, ./.] 	[Some/DT, of/IN, the/DT, people/NNS, are/VBP, shopping/VBG, for/IN, clothes/NNS, ./.] 	10
[One/CD, man/NN, plays/VBZ, the/DT, guitar/NN, while/IN, another/DT, plays/VBZ, the/DT, drums/NNS, on/IN, stage/NN, ./.] 	[The/DT, man/NN, is/VBZ, playing/VBG, a/DT, guitar/NN, while/IN, another/DT, plays/VBZ, the/DT, drums/NNS, behind/IN, him/PRP, ./.] 	11
[The/DT, group/NN, of/IN, men/NNS, competed/VBD, ./.] 	[The/DT, group/NN, of/IN, men/NNS, are/VBP, from/IN, Chippendales/NNP, ./.] 	12
[There/EX, is/VBZ, a/DT, very/RB, large/JJ, crowd/NN, watching/VBG, the/DT, presentation/NN] 	[There/EX, is/VBZ, a/DT, crowd/NN, watching/VBG, a/DT, performance/NN, ./.] 	13
[They/PRP, are/VBP, singing/VBG, too/RB, ./.] 	[Two/CD, musicians/NNS, are/VBP, completely/RB, out/IN, of/IN, tune/NN, ./.] 	14
[There/EX, is/VBZ, a/DT, lady/NN, carrying/VBG, children/NNS, in/IN, her/PRP$, two/CD, hands/NNS, ./.] 	[The/DT, woman/NN, 's/POS, hands/NNS, are/VBP, full/JJ, with/IN, what/WP, she/PRP, is/VBZ, carrying/VBG, ./.] 	15
[Many/JJ, people/NNS, are/VBP, resting/VBG, in/IN, the/DT, grass/NN, ./.] 	[The/DT, people/NNS, are/VBP, sleeping/VBG, in/IN, the/DT, grass/NN, ./.] 	16
[The/DT, woman/NN, walks/VBZ, alone/RB, on/IN, the/DT, sidewalk/NN, ./.] 	[A/DT, woman/NN, walks/VBZ, on/IN, the/DT, sidewalk/NN, ./.] 	17
