root	ROOT	Surprised
case	way	at
det	way	the
nmod:at	Surprised	way
nsubjpass	recorded	costs
auxpass	recorded	were
acl:relcl	way	recorded
punct	Surprised	,
advmod	starting	often
dep	Surprised	starting
case	cost	with
det	cost	a
punct	cost	``
amod	cost	standard
nmod:with	starting	cost
punct	cost	''
nsubj	amounted	that
acl:relcl	cost	amounted
case	guess	to
det	guess	a
amod	guess	blind
nmod:to	amounted	guess
punct	guess	,
nsubjpass	adjusted	which
aux	adjusted	has
advmod	adjusted	then
auxpass	adjusted	been
acl:relcl	guess	adjusted
case	difference	with
det	difference	a
punct	difference	``
nmod:with	adjusted	difference
punct	difference	''
punct	Surprised	,
nsubj	developed	it
aux	developed	has
parataxis	Surprised	developed
det	factory	an
amod	factory	automated
dobj	developed	factory
nsubj	said	that
acl:relcl	factory	said
nsubj	determine	it
aux	determine	could
ccomp	said	determine
det	costs	the
dobj	determine	costs
case	second	To
det	second	the
nmod:to	costs	second
punct	Surprised	.
