amod	Americans	Most
nsubj	reflect	Americans
aux	reflect	will
advmod	reflect	probably
neg	reflect	never
root	ROOT	reflect
case	fact	on
det	fact	the
nmod:on	reflect	fact
advmod	invaded	that
punct	invaded	,
case	1848	in
nmod:in	invaded	1848
punct	invaded	,
det	States	the
compound	States	United
nsubj	invaded	States
ccomp	fact	invaded
dobj	invaded	Mexico
cc	invaded	and
conj:and	invaded	forced
nmod:poss	leaders	its
dobj	forced	leaders
mark	sign	to
xcomp	forced	sign
advmod	half	more
mwe	more	than
dobj	sign	half
case	territory	of
nmod:poss	territory	their
nmod:of	half	territory
case	gunpoint	at
nmod:at	sign	gunpoint
punct	reflect	.
