officials	visiting	amod
concern	issues	nmod:about
express	would	aux
express	that	mark
express	talk	conj:and
addressed	they	nsubjpass
record	not	neg
addressed	be	auxpass
addressed	would	aux
talk	concerns	nmod:through
responded	express	ccomp
responded	crew	nsubj
talk	officials	nsubj
express	they	nsubj
express	and	cc
concerns	through	case
express	concern	dobj
addressed	that	mark
talk	indicate	conj:and
indicate	addressed	ccomp
addressed	record	conj:but
record	issues	dobj
talk	would	aux
talk	that	mark
express	verbally	advmod
addressed	but	cc
crew	The	det
