ROOT	publicized	root
publicized	assaults	nsubjpass
estimate	represents	acl:relcl
incidents	19,000	nummod
assaults	the	det
estimate	by	case
publicized	are	auxpass
publicized	notoriously	advmod
publicized	estimate	conj:and
represents	%	dobj
%	13.5	nummod
estimate	Pentagon	nmod:poss
publicized	.	punct
incidents	the	det
publicized	,	punct
publicized	and	cc
represents	year	nmod:tmod
estimate	own	amod
19,000	approximately	advmod
%	incidents	nmod:of
publicized	But	cc
13.5	approximately	advmod
estimate	,	punct
incidents	of	case
Pentagon	's	case
