think	Apple	ccomp
Apple	been	cop
Apple	it	nmod:without
lesson	an	det
build	could	aux
build	-	punct
know	Us	nsubj
thing	little	amod
lesson	it	nsubj
thing	giant	amod
thing	control	acl:relcl
lesson	incredible	amod
Apple	there	expl
build	we	nsubj
thing	a	det
lesson	and	cc
Apple	have	aux
lesson	think	conj:and
lesson	was	cop
Apple	would	aux
control	thing	dobj
build	thing	dobj
Apple	ever	advmod
Us	two	nummod
lesson	,	punct
build	lesson	parataxis
control	could	aux
control	that	nsubj
know	build	conj:but
