ROOT	hides	root
equality	freedom	conj:and
tragic	more	advmod
Oxford	it	nsubj
hides	tragic	dep
reputation	behind	case
equality	and	cc
produced	ministers	dobj
hides	Oxford	nsubj
reputation	an	det
equality	for	case
tragic	Even	advmod
ministers	prime	amod
Oxford	produced	acl:relcl
reputation	equality	nmod:for
thought	of	case
hides	.	punct
produced	but	cc
produced	only	cc:preconj
produced	,	punct
produced	day	nmod:to
hides	reputation	nmod:behind
ministers	14	nummod
Oxford	was	cop
freedom	thought	nmod:of
hides	is	aux
Oxford	that	mark
ministers	Tory	compound
produced	which	nsubj
Oxford	,	punct
reputation	ill-deserved	amod
