parents	times	dep
contacted	parents	conj:and
professor	development	nmod:of
Larson	,	punct
contacted	and	cc
Larson	professor	appos
human	and	cc
contacted	he	nsubj
paging	of	case
contacted	which	nmod:in
400	nearly	advmod
conducted	1991	nmod:in
human	community	conj:and
development	human	amod
conducted	experiment	dobj
experiment	an	det
Illinois	of	case
times	paging	nmod:of
Larson	Reed	compound
experiment	contacted	acl:relcl
University	Illinois	nmod:of
conducted	Larson	nsubj
conducted	,	punct
teens	400	nummod
1991	In	case
times	eight	nummod
times	day	nmod:npmod
contacted	teens	dobj
