shopping	duty-free	amod
books	iPhones	conj:and
Half	day	nmod:npmod
mention	-LRB-	punct
tedious	.	punct
tedious	,	punct
tedious	Half	nsubj
ROOT	tedious	root
distractions	books	nmod:of
tedious	pretty	advmod
distractions	the	det
distractions	even	advmod
books	magazines	conj:and
Half	airport	nmod:in
books	,	punct
waiting	flight	nmod:for
distractions	with	case
mention	shopping	dobj
tedious	is	cop
tedious	distractions	nmod:with
mention	-RRB-	punct
airport	waiting	acl
iPhones	mention	dep
airport	an	det
airport	in	case
flight	for	case
