two  	Two  	1
		2
		3
		4
		5
		6
		7
night  		8
		9
	Two  	10
		11
3  	Two  	12
		13
		14
		15
first  	morning  	16
	Four  	17
		18
		19
		20
Christmas  		21
		22
		23
		24
		25
		26
		27
day  		28
		29
	this falls  	30
		31
		32
		33
Two  	Two  	34
two  	two  	35
		36
		37
	One  	38
		39
	one  	40
		41
	One  	42
		43
		44
Two  	Two  	45
past  		46
		47
		48
		49
	escape  	50
Four  		51
	Three  	52
		53
		54
		55
		56
		57
		58
		59
		60
		61
		62
Two  	Two  one  	63
		64
		65
		66
		67
		68
		69
		70
		71
		72
		73
		74
night  	One  night  	75
		76
		77
		78
		79
		80
Two  	Two  	81
		82
		83
		84
day  Mike  	tonight  	85
		86
		87
		88
Gillette  		89
	now  	90
		91
	escape  fire  	92
		93
		94
		95
		96
Two  	Two  	97
		98
		99
		100
Houston  now  		101
		102
	two  	103
		104
	One  	105
		106
		107
		108
	Three  	109
		110
3  	Three  	111
		112
Two  	two  	113
Two  	Two  	114
	Two  	115
		116
		117
	Two  	118
		119
		120
		121
	three  	122
Two  		123
		124
	North Sea  	125
	Three  	126
		127
		128
		129
		130
day  	day  	131
		132
Two  	Mother  three  	133
Corona  	Winter  	134
		135
Three  		136
		137
		138
		139
Two  	Two  	140
James  	Father  	141
Atlantic Ocean  		142
		143
		144
	two  	145
		146
Two  	two  	147
		148
		149
		150
		151
		152
		153
Two  one  	Two  	154
		155
Three  		156
		157
		158
Barack obama  		159
		160
		161
		162
American  		163
		164
	One  	165
		166
		167
	hundred  	168
		169
		170
New York  	New York  	171
		172
	Adam  	173
		174
Two  		175
	Two  	176
		177
		178
	two  	179
	twenty-one  	180
		181
		182
		183
		184
three  	Three  	185
		186
		187
six  		188
	two  	189
		190
		191
Two  	Three  	192
		193
		194
		195
		196
		197
night  	three  every day  	198
	Two  	199
Asian  		200
		201
		202
		203
		204
		205
		206
		207
		208
		209
		210
		211
	two  	212
night  		213
Two  		214
		215
		216
day  	day  	217
	night  	218
Asian  night  		219
		220
		221
	first  	222
Two  	three  	223
		224
accident  two  	Two  accident  	225
		226
		227
	Mohawk-style  	228
		229
Two  	Two  	230
		231
four  two  	two  	232
		233
		234
		235
		236
	Two  	237
first  		238
		239
		240
		241
		242
		243
	Two  	244
		245
		246
Six  	Three  	247
70  	two  	248
		249
		250
		251
day  	day  	252
		253
		254
		255
		256
		257
		258
		259
two  	two  two  two  	260
		261
		262
		263
		264
	Two  	265
		266
		267
		268
		269
	Two  	270
		271
		272
		273
		274
		275
	night  	276
Six  	two  	277
	fall  	278
Two  	Two  	279
	two  	280
		281
		282
	Two  	283
		284
		285
	Adam  	286
two  		287
		288
two  		289
		290
		291
		292
		293
two  	Four  	294
	Cowboy  	295
		296
	Artist  	297
Three  	Three  	298
		299
		300
		301
	summer  	302
		303
		304
earthquake  		305
		306
		307
		308
night  		309
		310
		311
		312
		313
		314
		315
		316
one  today  	one  	317
Two  	two  	318
two  		319
		320
		321
		322
		323
One  		324
		325
		326
past  		327
		328
		329
		330
		331
		332
		333
		334
		335
		336
		337
		338
Three  	Three  	339
		340
Two  	three  	341
		342
		343
day  		344
8 seconds  		345
		346
		347
		348
		349
		350
		351
two  	Five  two  	352
		353
		354
		355
		356
Two  	two  	357
		358
		359
		360
		361
		362
		363
		364
		365
Three  	Three  	366
		367
		368
		369
		370
	two  	371
		372
Two  	Two  	373
		374
		375
		376
		377
		378
		379
		380
		381
Two  	Two  	382
war  	war  	383
		384
		385
		386
		387
		388
		389
		390
		391
	One  	392
		393
		394
	one  	395
		396
		397
		398
		399
	one  	400
		401
		402
		403
		404
Two  	Two Asian  	405
	three  	406
		407
Two  winter  	Two  summer sun  	408
Three  	Two  	409
Asian  	Two Asian  	410
		411
		412
Three  one  		413
two  		414
three  	Two  	415
two  		416
Two  	Three  	417
spring  		418
		419
		420
		421
		422
		423
Two  	two  	424
		425
		426
Willie Nelson  right  		427
Three  one  right  		428
	first  	429
	two  	430
Two  		431
Three  	Two  	432
		433
		434
		435
		436
		437
		438
		439
		440
		441
		442
Two  	Four  	443
Clown  		444
		445
		446
march past  	Two  	447
Venice Beach  	One  	448
		449
		450
Fox News  		451
three  	Three  	452
	Adam  	453
		454
Two  	Three  	455
		456
		457
		458
		459
		460
Two  		461
	Birmingham  	462
		463
		464
evening  		465
		466
day  		467
		468
		469
		470
Two  		471
		472
Two  		473
		474
		475
Two  	Three  	476
		477
		478
Canadian  		479
		480
a day  	Mother  a day  	481
	two  	482
		483
		484
Two  one  	Two  one  one  	485
Three  	Two  	486
		487
		488
		489
		490
		491
		492
		493
		494
Hitler  		495
		496
		497
		498
		499
		500
