194 63 85 85 127 137 50 50 63 178 85 185 	194 63 85 85 127 96 50 12 	4.000
94 147 147 65 	101 175 123 85 85 65 37 85 	3.750
23 68 191 196 191 70 196 93 	58 148 1 23 193 196 93 	2.800
48 166 36 106 92 124 81 	48 190 36 106 92 178 170 42 93 23 	3.400
169 20 79 182 87 87 156 93 	169 98 79 98 87 	2.400
147 0 147 87 12 147 	147 156 147 43 147 147 147 	1.333
64 0 25 156 162 30 137 64 64 	0 145 156 147 53 137 147 107 147 23 23 	4.600
64 129 191 177 64 	196 64 191 119 177 	3.800
166 10 47 82 82 82 156 	10 139 82 82 82 64 	4.200
102 102 102 102 102 85 102 85 	112 137 137 81 153 102 81 	2.600
127 14 28 80 181 181 197 156 65 119 	80 165 156 65 119 14 28 133 181 	4.400
154 8 161 124 8 	190 8 161 124 8 9 8 	4.200
64 12 12 84 64 	64 12 12 84 92 64 	5.000
36 36 138 36 36 36 36 	36 36 36 36 36 36 106 36 	5.000
179 25 87 	166 145 43 	5.000
129 148 99 	64 64 148 64 	3.400
12 87 37 175 	37 87 175 87 	5.000
87 52 97 45 67 52 20 179 	23 52 144 52 23 173 173 	4.000
42 152 71 104 	88 71 42 152 	3.200
88 80 85 164 164 151 50 	85 164 164 50 50 88 	5.000
84 79 52 52 92 	64 52 64 52 52 92 	4.400
93 102 9 86 	193 86 47 178 156 	3.600
64 127 119 119 	64 14 38 28 14 61 	3.600
169 98 79 87 	57 50 87 98 98 109 79 87 	0.800
64 147 147 	105 167 64 169 64 	1.400
186 9 40 193 153 54 23 9 	23 23 40 23 137 161 23 193 	3.200
173 81 191 191 191 173 	173 81 105 191 19 173 191 173 173 167 	3.800
95 10 76 51 10 151 76 	198 10 10 10 76 10 151 	4.200
193 156 193 193 193 193 38 	193 167 193 193 84 84 	3.000
0 161 121 35 92 121 104 146 100 60 121 	185 0 121 35 92 121 147 146 	3.600
149 62 85 17 87 63 	147 149 62 17 87 43 12 186 	3.000
156 63 89 63 	156 47 89 	3.000
119 9 199 	12 182 	3.000
64 93 64 64 144 103 64 64 	64 64 144 64 64 116 144 22 	4.800
186 87 79 87 	180 186 87 17 79 87 172 87 74 	2.500
193 86 160 109 26 	193 86 160 109 132 	2.250
64 147 147 12 	64 64 147 64 65 8 156 	3.500
124 135 135 	47 47 124 47 47 47 	3.500
116 23 	191 23 	3.000
157 9 128 93 	42 54 61 93 11 10 	3.000
147 128 147 147 	147 128 147 147 147 	3.667
23 82 82 82 82 27 82 197 0 82 	0 29 82 159 178 156 177 179 	1.667
120 52 168 70 106 51 51 102 167 101 	52 23 51 51 102 167 101 51 23 52 114 167 	3.600
141 162 51 64 194 113 92 	92 5 102 92 92 60 53 60 	3.800
156 47 196 196 196 	62 153 196 62 196 	3.400
153 92 50 153 153 101 50 	168 91 153 153 50 50 92 50 153 153 	3.400
9 161 78 191 191 191 147 191 	9 161 78 176 	3.800
164 21 21 76 60 147 111 129 10 	164 21 21 192 60 76 64 	2.800
23 52 52 23 117 146 190 190 23 	117 146 190 190 103 23 23 23 	3.750
115 148 47 107 107 107 107 76 107 107 47 	123 148 157 7 148 151 40 71 139 	4.400
179 166 179 	166 166 180 	3.750
175 11 0 124 40 157 52 150 184 26 	175 11 0 52 40 192 	3.750
141 141 141 141 34 64 	141 141 141 141 141 	2.250
64 64 23 23 64 	50 10 23 64 	3.800
65 184 190 23 23 23 	3 192 65 190 161 	3.200
64 64 87 87 156 147 147 	147 132 147 115 147 156 147 147 33 70 	3.800
92 104 177 82 137 92 81 	92 92 92 190 52 8 92 92 	4.800
119 119 121 153 30 	119 119 156 54 153 54 12 	4.000
23 23 104 23 82 23 121 153 153 153 153 83 	23 23 23 23 23 104 23 176 23 153 153 83 	1.400
198 179 74 198 23 64 198 	198 180 161 192 198 198 23 198 198 52 	4.200
192 12 13 62 92 72 177 30 	192 12 13 113 39 90 64 193 	1.800
85 84 147 84 64 64 64 64 64 	12 64 147 84 64 64 64 64 67 64 	4.200
85 0 161 161 108 	85 161 161 161 161 47 85 147 	2.000
