compound	forces	U.S.
nsubj	struck	forces
root	ROOT	struck
dobj	struck	dozens
case	targets	of
nmod:of	dozens	targets
case	Monday	on
nmod:on	struck	Monday
punct	struck	,
dep	struck	killing
nummod	guerrillas	six
dobj	killing	guerrillas
cc	killing	and
conj:and	killing	arresting
nummod	others	99
dobj	arresting	others
case	patrols	during
nummod	patrols	1,729
nmod:during	arresting	patrols
cc	patrols	and
nummod	raids	25
conj:and	patrols	raids
acl	patrols	conducted
case	hours	over
nummod	hours	24
nmod:over	conducted	hours
punct	struck	.
