compound	International	Amnesty
nsubj	said	International
aux	said	has
root	ROOT	said
mark	collected	that
case	years	over
det	years	the
amod	years	past
nummod	years	20
nmod:over	collected	years
nsubj	collected	it
aux	collected	has
ccomp	said	collected
dep	higher	information
advmod	17,000	about
nummod	disappearances	17,000
nsubj	higher	disappearances
case	Iraq	in
nmod:in	disappearances	Iraq
cc	disappearances	but
det	figure	the
amod	figure	actual
conj:but	disappearances	figure
aux	higher	may
cop	higher	be
advmod	higher	much
xcomp	collected	higher
punct	said	.
