det	virus	The
nsubj	spreads	virus
root	ROOT	spreads
advmod	open	when
amod	users	unsuspecting
compound	users	computer
nsubj	open	users
advcl	spreads	open
compound	attachments	file
dobj	open	attachments
case	emails	in
nmod:in	open	emails
nsubj	contain	that
acl:relcl	emails	contain
amod	headings	familiar
dobj	contain	headings
mark	Thank	like
punct	Thank	``
acl	headings	Thank
dobj	Thank	You
punct	spreads	!
punct	spreads	''-22) cc(Re-3, and
punct	Re	``
root	ROOT	Re
punct	Re	:
dep	Re	Details
punct	Details	''
punct	Re	.
