root	ROOT	Along
case	Intel	with
compound	Intel	chip
compound	Intel	maker
nmod:with	Along	Intel
punct	Intel	,
det	companies	the
nsubj	include	companies
acl:relcl	Intel	include
dobj	include	Sony
punct	Sony	,
appos	Sony	Microsoft
punct	Microsoft	,
conj:and	Microsoft	Hewlett-Packard
punct	Microsoft	,
compound	Machines	International
compound	Machines	Business
conj:and	Microsoft	Machines
punct	Microsoft	,
conj:and	Microsoft	Gateway
punct	Microsoft	,
conj:and	Microsoft	Nokia
cc	Microsoft	and
conj:and	Microsoft	others
punct	Along	.
