nmod:poss	remarks	Stefani
case	Stefani	's
nsubj	stoked	remarks
advmod	stoked	further
root	ROOT	stoked
dobj	stoked	tension
case	Berlusconi	after
amod	Berlusconi	Italian
compound	Berlusconi	Prime
compound	Berlusconi	Minister
compound	Berlusconi	Silvio
nmod:after	tension	Berlusconi
amod	week	last
nmod:tmod	tension	week
case	member	compared
det	member	a
amod	member	German
nmod:compared	tension	member
case	Parliament	of
det	Parliament	the
compound	Parliament	European
nmod:of	member	Parliament
case	guard	to
det	guard	a
amod	guard	Nazi
compound	guard	concentration
compound	guard	camp
nmod:to	member	guard
punct	stoked	.
