49 109 109 	127 109 109 	5.000
34 34 197 4 	34 34 197 4 	5.000
132 	197 	0.300
34 34 45 	34 34 129 	0.600
34 164 	34 169 164 	4.200
59 73 73 	59 73 	3.600
34 32 32 	34 164 	5.000
127 151 151 	34 151 151 	2.750
34 178 56 	34 14 56 	5.000
171 138 151 199 	138 151 199 	3.750
49 132 	49 132 	5.000
34 169 164 	34 169 164 	1.250
199 199 127 	18 199 127 	5.000
59 164 164 	59 169 	4.250
34 61 180 	34 152 180 	3.400
49 151 151 	22 151 151 	1.600
34 164 	49 164 	5.000
138 151 151 	129 151 151 	3.600
127 164 	49 164 	5.000
49 114 164 	49 164 	2.600
34 164 109 	34 164 109 	5.000
138 	22 	3.200
138 151 197 	138 151 151 	4.800
34 169 164 	34 169 164 	5.000
55 133 142 55 133 	55 133 91 55 83 	5.000
49 151 151 	49 151 134 	2.200
199 39 127 127 	199 135 127 127 	5.000
34 164 	34 27 164 	4.250
34 197 134 	34 151 134 	5.000
49 164 	34 169 164 	2.500
22 151 151 	49 151 16 	2.800
22 134 197 	49 134 197 	2.800
34 109 109 	34 109 109 	2.800
22 151 151 	49 151 151 	2.800
34 73 	34 169 73 	5.000
49 197 165 	127 197 165 127 	4.800
34 151 151 151 	49 151 151 151 	2.400
34 164 164 18 142 	34 164 18 142 	4.200
127 151 151 	49 197 151 	5.000
49 197 16 	49 151 151 	5.000
34 114 164 	34 141 164 	5.000
34 78 94 	49 85 94 	3.750
59 114 73 	49 114 73 	3.800
127 151 151 	49 151 151 	2.000
49 151 134 	49 151 151 	2.000
127 151 151 	127 134 134 	1.583
49 134 134 	49 151 151 	1.778
49 151 151 	49 134 134 	2.000
49 134 134 	49 151 151 	2.000
49 151 134 	49 151 151 	2.000
34 127 	34 59 127 	3.200
164 	127 164 	3.800
199 151 72 169 55 	199 61 55 	4.400
81 177 23 136 53 	59 116 136 53 	5.000
199 55 	199 55 	5.000
59 141 164 	49 141 164 	3.500
199 187 164 	199 187 164 	4.000
59 83 83 	49 83 83 	3.500
94 94 	94 96 	4.400
146 164 146 	146 164 146 	3.800
34 142 164 	34 142 164 	2.600
49 	49 	3.000
34 155 0 	34 130 19 	5.000
49 151 151 	49 151 151 	5.000
49 169 164 	49 26 164 	3.667
49 164 	34 114 164 	2.333
34 164 	34 164 	2.500
49 197 151 	127 151 151 	5.000
34 109 	34 109 	3.824
34 141 178 	34 141 	4.000
164 164 	164 164 164 	4.400
49 187 	49 	0.200
49 151 151 	127 151 151 	5.000
49 73 96 	49 73 96 	5.000
34 169 177 	34 164 	4.000
127 151 151 	34 151 151 	1.600
49 73 96 	49 73 139 96 	5.000
138 151 151 	138 151 151 	4.600
127 71 164 	49 71 164 	5.000
49 169 164 	49 169 164 	2.375
34 197 	49 197 	2.600
34 129 	34 129 	2.600
22 176 19 	34 176 19 	2.600
129 151 151 	49 151 151 	2.200
81 145 148 	81 145 197 134 	1.700
127 34 45 	34 34 45 45 	3.400
34 28 28 28 	127 28 28 	2.000
49 134 	49 197 134 	4.000
34 164 	164 	3.250
49 164 	49 169 164 	4.500
22 164 164 	34 164 164 	2.600
34 26 164 	127 142 164 	2.000
49 151 151 	138 151 151 	1.800
49 151 151 	34 151 151 	1.556
34 113 153 	34 113 153 	4.500
127 142 92 142 	127 142 32 32 142 	4.000
34 73 	34 77 40 	4.500
49 164 	34 164 164 	5.000
199 199 109 81 199 	199 199 109 81 199 	4.200
59 169 164 86 	59 164 86 	1.600
49 129 34 	34 96 199 	0.500
127 96 	127 129 	1.400
100 164 	164 187 	1.600
171 199 86 86 	199 86 86 	4.400
127 151 151 	34 134 134 	1.800
34 26 73 	34 169 164 	2.200
22 151 134 	22 151 134 	2.600
134 134 	151 151 	2.400
127 151 151 	199 134 134 	1.600
49 	22 	3.000
59 73 	59 73 	2.000
34 34 109 109 	34 34 109 109 	2.000
49 164 164 	49 164 	3.800
34 38 146 146 	34 38 146 0 	4.000
34 100 164 	49 100 164 	3.000
22 83 127 	138 127 83 127 	4.400
199 164 	199 79 164 	4.800
22 2 83 	22 83 	4.800
49 142 169 190 50 	49 142 50 50 	2.500
22 151 151 	22 134 134 	2.000
49 	49 197 	0.750
49 	49 109 	0.727
83 83 	199 151 	0.000
49 109 	34 197 	1.250
49 197 	49 134 	1.250
127 109 	49 134 	1.250
49 134 	49 197 	0.500
49 28 49 19 	49 28 19 	3.250
34 114 164 	34 164 	1.333
34 169 164 	34 164 	1.000
114 164 	164 	1.400
34 114 164 	34 164 	1.333
55 45 	55 45 	5.000
95 127 79 192 107 	95 79 192 7 	4.000
127 127 	49 0 169 	3.000
34 164 	34 164 164 	4.400
127 134 134 	127 151 134 	2.000
49 134 134 	49 151 151 	2.167
49 109 109 	34 109 109 	1.400
34 164 	127 164 	1.200
34 164 	49 164 	1.200
34 164 	34 32 	2.200
22 78 19 	22 52 141 	1.250
127 141 127 	49 47 165 	5.000
49 109 109 136 	49 109 109 	4.000
34 151 151 	59 151 151 	4.000
49 151 151 	49 151 151 134 	3.200
145 109 109 	25 109 109 	2.000
49 151 151 	34 151 151 151 	2.200
127 151 151 134 	49 151 151 	3.200
49 141 4 	34 34 141 185 	1.500
199 164 	185 164 	4.750
49 73 	49 	0.500
34 139 	49 134 	0.067
34 164 	199 164 	1.600
138 22 197 4 	34 34 197 4 	2.600
49 83 83 	49 102 83 	4.875
34 103 164 	34 169 164 	5.000
199 38 	34 38 	2.000
34 109 109 	49 83 83 	1.400
49 109 109 	127 83 83 	1.400
49 164 164 	127 164 164 	3.600
49 28 28 	49 164 	0.800
49 151 32 	127 28 32 	3.800
34 169 164 	34 169 164 	2.000
34 32 	49 164 	1.600
138 134 134 	49 134 134 	3.000
138 199 164 	138 199 32 	3.615
59 114 164 	49 114 164 	3.750
59 134 134 	59 164 	0.500
34 161 94 180 	34 11 94 	4.000
59 151 151 	138 151 197 	4.000
138 192 127 142 	138 62 127 169 142 	3.333
59 164 86 	59 169 164 86 	1.500
127 129 136 187 142 	127 26 136 187 142 	4.400
49 151 151 	49 197 151 	4.857
49 184 184 	49 131 11 	2.875
49 	49 129 	0.800
49 151 134 151 	49 134 151 134 	5.000
34 164 	34 129 164 	2.200
59 154 127 	59 164 178 	0.200
127 164 	49 164 	0.400
34 34 	34 34 96 	0.200
127 151 151 	49 151 151 	1.800
127 151 134 	127 151 151 	1.600
34 197 	34 197 	1.300
49 145 	49 197 	1.200
49 197 	49 145 	1.200
34 187 	49 141 	0.200
49 197 	49 122 	1.200
49 49 190 	127 132 190 	3.000
127 109 109 	49 109 109 140 	3.500
127 109 109 120 	49 109 109 	3.500
34 164 	34 164 	2.000
59 199 19 	59 199 	4.400
34 164 164 	34 169 164 	5.000
