145 30 30 174 48 30 123 30 108 54 	145 30 91 48 30 123 30 108 47 	4.200
199 199 86 	105 199 199 54 105 	4.250
191 122 9 23 40 196 	157 38 130 23 40 	4.800
67 128 67 128 106 	67 61 67 57 57 106 	4.800
196 87 147 1 9 186 186 60 151 186 74 9 147 29 9 	9 87 147 1 64 60 60 64 147 104 	4.000
67 50 67 128 49 	67 67 57 57 49 	4.800
57 57 52 147 57 190 23 84 	57 71 147 57 190 9 52 	3.750
112 129 189 	191 116 189 	4.800
166 92 1 1 40 128 92 166 115 164 177 87 2 170 	53 1 153 1 1 40 83 153 166 1 164 1 87 	4.000
190 190 190 190 73 190 190 190 9 30 138 177 166 166 145 177 	190 190 190 190 190 73 190 92 63 166 9 138 119 166 166 163 119 	4.800
161 129 189 	49 61 	4.800
64 64 64 190 130 67 	58 64 130 190 130 142 	4.200
190 	190 	4.500
9 40 9 9 27 65 9 9 70 52 9 	9 9 70 52 9 9 40 9 9 171 65 	4.000
161 161 136 166 82 166 65 	98 26 147 166 136 166 82 65 	4.000
60 9 147 64 92 175 81 23 175 52 152 124 147 29 147 147 147 92 152 152 92 147 23 152 186 147 92 104 	40 9 161 9 9 60 10 23 175 64 147 182 161 147 9 186 191 60 152 37 147 9 152 104 147 85 	4.000
57 91 9 9 9 115 9 9 9 	52 91 186 9 1 9 	3.800
104 111 103 190 9 	87 87 111 103 190 9 	5.000
190 9 191 92 64 64 184 156 91 9 85 92 166 92 64 	190 190 190 190 23 92 64 156 9 78 156 190 64 124 61 92 81 9 92 64 	4.800
59 40 186 185 79 	40 85 185 23 	4.800
57 57 52 147 57 190 9 112 	57 71 147 57 190 9 	4.400
190 34 53 143 9 0 	190 33 81 141 23 196 	3.500
194 153 52 179 52 52 157 9 130 	194 179 8 29 9 161 9 130 	4.800
161 98 136 166 82 166 65 	161 26 166 166 166 82 65 	3.000
196 156 196 128 175 	0 175 0 196 156 196 	5.000
199 175 25 157 9 50 9 161 9 153 25 157 175 118 191 9 78 175 152 152 166 	105 127 13 9 105 9 65 61 157 104 178 23 23 147 175 152 147 	4.400
138 85 190 57 128 	186 1 137 100 30 137 30 	3.000
116 91 40 157 191 9 9 42 9 184 	186 104 191 42 30 	3.400
40 40 9 9 171 65 9 9 70 52 9 	9 33 52 9 70 40 40 9 9 171 12 	3.600
59 130 190 49 33 59 	59 130 190 101 120 120 59 	4.600
9 9 9 9 167 9 9 9 9 9 9 9 151 81 9 9 9 161 9 9 161 	9 9 9 167 9 9 9 9 197 81 160 124 9 124 9 9 161 	4.400
191 106 9 9 52 9 191 9 9 67 	52 67 9 9 67 9 9 	4.200
190 0 143 127 190 64 2 	190 11 11 64 127 33 64 199 138 	4.800
59 40 186 185 79 	59 186 59 185 83 	4.200
190 52 29 52 53 59 182 52 	52 29 52 9 176 105 52 182 193 54 	3.600
190 197 53 143 141 0 	190 34 53 85 0 196 	4.400
153 36 101 123 64 41 98 64 123 43 3 43 65 	98 92 63 92 154 197 174 196 106 65 20 138 	4.600
166 153 23 23 40 128 153 166 115 164 177 87 104 170 	49 5 5 92 1 1 40 128 92 166 1 164 177 1 87 	4.600
