root	ROOT	Finally
punct	topic	,
cc	topic	and
nsubj	topic	this
cop	topic	is
det	topic	a
advmod	controversial	more
amod	topic	controversial
dep	Finally	topic
punct	topic	,
det	Committee	the
nsubj	called	Committee
aux	called	has
acl:relcl	topic	called
case	vigour	with
nmod:with	called	vigour
mark	make	to
xcomp	called	make
dobj	make	use
case	procedure	of
det	procedure	the
amod	procedure	fast-track
nmod:of	use	procedure
mark	implement	to
xcomp	make	implement
det	legislation	this
dobj	implement	legislation
punct	Finally	.
