root	ROOT	Let
dobj	Let	us
punct	Let	,
case	Europe	as
det	Europe	a
nmod:as	Let	Europe
case	States	of
nummod	States	15
compound	States	Member
nmod:of	Europe	States
punct	Let	,
xcomp	Let	organise
dobj	organise	ourselves
mark	able	in
mwe	in	order
mark	able	to
cop	able	be
advcl	organise	able
mark	welcome	to
xcomp	able	welcome
det	countries	those
dobj	welcome	countries
nsubj	knocking	who
aux	knocking	are
acl:relcl	countries	knocking
case	door	at
det	door	the
nmod:at	knocking	door
case	fold	into
det	fold	the
nmod:into	knocking	fold
case	conditions	under
amod	conditions	respectable
nmod:under	knocking	conditions
punct	Let	.
