root	ROOT	Reiterating
det	calls	the
dobj	Reiterating	calls
acl	calls	made
case	Parliament	by
det	Parliament	the
compound	Parliament	European
nmod:by	made	Parliament
case	resolution	in
nmod:poss	resolution	its
nmod:in	made	resolution
case	March	of
nummod	March	16
nmod:of	resolution	March
nummod	March	2000
punct	March	,
det	initiatives	what
dobj	propose	initiatives
aux	propose	does
det	Presidency	the
nsubj	propose	Presidency
case	Council	of
det	Council	the
amod	Council	European
nmod:of	Presidency	Council
acl:relcl	March	propose
mark	take	to
xcomp	propose	take
case	view	with
det	view	a
nmod:with	take	view
mark	playing	to
acl	view	playing
det	role	a
advmod	active	more
amod	role	active
dobj	playing	role
advmod	guarantee	so
mark	guarantee	as
mark	guarantee	to
advcl	playing	guarantee
det	application	the
amod	application	full
cc	full	and
conj:and	full	complete
dobj	guarantee	application
case	plan	of
det	plan	the
compound	plan	UN
compound	plan	peace
nmod:of	application	plan
punct	Reiterating	?
