33 147 91 66 147 	147 33 91 198 147 	5
75 183 51 64 64 	117 51 64 76 	5
128 128 78 194 128 	194 128 	5
129 	129 	5
83 58 138 138 102 	83 58 129 138 138 83 	4
78 27 78 127 	165 28 27 127 	4
166 35 	35 35 	4
		4
128 174 176 35 35 128 	178 128 128 35 128 122 35 	3
161 101 101 	101 102 101 	3
32 32 12 24 34 12 	32 32 12 24 199 199 12 	3
15 91 190 15 15 	15 15 190 15 15 	3
165 162 103 28 109 	103 103 165 162 	2
12 	171 	2
57 72 9 128 128 	194 128 128 124 57 	2
54 91 54 	151 91 54 156 	2
111 	111 65 156 12 	1
128 128 128 196 58 124 128 194 	57 194 128 128 	1
80 9 98 9 8 9 	8 9 98 	1
		1
167 13 54 	0 63 	0
151 	154 	0
178 18 174 178 178 74 	74 137 84 174 137 	0
25 127 	102 127 165 	0
